common_name,iupac_name,CAS,inchi,isomeric_SMILES,canonical_SMILES,family,Mw,interaction,source,segment,sigma,epsilon,dipole,kappa_ab,epsilon_k_ab,na,nb,expt_p_sat_T_min,expt_p_sat_T_max,expt_density_T_min,expt_density_T_max,expt_T_min_conservative,expt_T_max_conservative,expt_T_min_liberal,expt_T_max_liberal,critical_temperature_K,critical_pressure_Pa,critical_volume_m3_per_mol,p_sat_AAD,p_sat_AAD_outliers,rho_liq_AAD,rho_liq_sat_AAD,rho_liq_sp_AAD,rho_vap_AAD_outliers,p_sat_n_points,p_sat_n_points_outliers,rho_liq_n_points,rho_liq_sat_n_points,rho_liq_sp_n_points,rho_vap_n_points_outliers
"2,4-dimethylpentane","2,4-dimethylpentane",108-08-7,"InChI=1S/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3",CC(C)CC(C)C,CC(C)CC(C)C,Alkanes,100.125,NONPOLAR,10.1021/acs.iecr.3c02255,3.11223,3.93843,240.15511,0.0,0.0,0.0,0,0,283.15,519.73,283.15,493.15,283.15,493.15,283.15,519.73,530.7594256774929,3.1861815142339463e6,0.0004279799880680793,0.93,-1.0,1.11,1.25,0.5,-1.0,112,-1,246,201,45,-1
heptane,heptane,142-82-5,"InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3",CCCCCCC,CCCCCCC,Alkanes,100.125,NONPOLAR,10.1021/acs.iecr.3c02255,3.49412,3.79257,238.11279,0.0,0.0,0.0,0,0,204.94,540.16,183.149994,513.150024,204.94,513.150024,183.149994,540.16,552.1426728669505,3.2697470590656144e6,0.0004326132307445869,0.68,1.02,0.46,0.46,0.74,3.88,1944,1968,5838,5734,104,366
"2,2,3-trimethylbutane","2,2,3-trimethylbutane",464-06-2,"InChI=1S/C7H16/c1-6(2)7(3,4)5/h6H,1-5H3",CC(C)C(C)(C)C,CC(C)C(C)(C)C,Alkanes,100.125,NONPOLAR,10.1021/acs.iecr.3c02255,2.72014,4.10186,259.51231,0.0,0.0,0.0,0,0,282.779999,532.219971,273.15,503.15,282.779999,503.15,273.15,532.219971,540.7260673692039,3.318338491962895e6,0.0004198372017826979,0.48,-1.0,0.82,0.6,0.95,-1.0,144,-1,44,16,28,-1
"2,3-dimethylpentane","2,3-dimethylpentane",565-59-3,"InChI=1S/C7H16/c1-5-7(4)6(2)3/h6-7H,5H2,1-4H3",CCC(C)C(C)C,CCC(C)C(C)C,Alkanes,100.125,NONPOLAR,10.1021/acs.iecr.3c02255,3.01421,3.95476,252.04445,0.0,0.0,0.0,0,0,208.470001,537.29,278.15,503.15,278.15,503.15,208.470001,537.29,549.4497213653573,3.372213791018461e6,0.00041890257093118495,0.79,-1.0,1.23,1.38,0.7,-1.0,177,-1,220,172,48,-1
3-methylhexane,3-methylhexane,589-34-4,"InChI=1S/C7H16/c1-4-6-7(3)5-2/h7H,4-6H2,1-3H3",CCCC(C)CC,CCCC(C)CC,Alkanes,100.125,NONPOLAR,10.1021/acs.iecr.3c02255,3.23144,3.87322,243.83414,0.0,0.0,0.0,0,0,283.15,535.190002,288.149994,503.15,288.149994,503.15,283.15,535.190002,547.5105929060994,3.3172079510362605e6,0.00042368380894794856,1.03,-1.0,1.03,0.53,1.14,-1.0,110,-1,34,6,28,-1
2-methylhexane,2-methylhexane,591-76-4,"InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3",CCCCC(C)C,CCCCC(C)C,Alkanes,100.125,NONPOLAR,10.1021/acs.iecr.3c02255,3.30335,3.86513,239.35097,0.0,0.0,0.0,0,0,273.130005,530.3,288.149994,503.15,288.149994,503.15,273.130005,530.3,542.396499838716,3.2282585552221085e6,0.00043106311161921314,0.65,0.86,0.38,0.28,0.44,-1.0,117,118,50,20,30,-1
"2,2-dimethylpentane","2,2-dimethylpentane",590-35-2,"InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3",CCCC(C)(C)C,CCCC(C)(C)C,Alkanes,100.125,NONPOLAR,10.1021/acs.iecr.3c02255,2.98758,3.98975,244.73503,0.0,0.0,0.0,0,0,285.34,520.44,203.149994,493.15,285.34,493.15,203.149994,520.44,531.4734013408037,3.207279006092383e6,0.00042611548740470776,0.51,-1.0,0.57,0.55,0.59,-1.0,112,-1,58,29,29,-1
"3,3-dimethylpentane","3,3-dimethylpentane",562-49-2,"InChI=1S/C7H16/c1-5-7(3,4)6-2/h5-6H2,1-4H3",CCC(C)(C)CC,CCC(C)(C)CC,Alkanes,100.125,NONPOLAR,10.1021/acs.iecr.3c02255,2.83955,4.04878,257.23007,0.0,0.0,0.0,0,0,213.139999,536.340027,288.149994,503.15,288.149994,503.15,213.139999,536.340027,546.328388482288,3.3310224717236436e6,0.0004222008495305363,0.63,-1.0,1.69,0.45,1.94,-1.0,167,-1,36,6,30,-1
3-ethylpentane,3-ethylpentane,617-78-7,"InChI=1S/C7H16/c1-4-7(5-2)6-3/h7H,4-6H2,1-3H3",CCC(CC)CC,CCC(CC)CC,Alkanes,100.125,NONPOLAR,10.1021/acs.iecr.3c02255,3.17762,3.89316,247.47183,0.0,0.0,0.0,0,0,294.28,540.570007,288.149994,513.150024,294.28,513.150024,288.149994,540.570007,551.7698715833736,3.352690098748805e6,0.00042262621387737924,0.46,-1.0,0.49,0.7,0.38,-1.0,126,-1,45,15,30,-1
chlorotrifluoromethane,chloro(trifluoro)methane,75-72-9,"InChI=1S/CClF3/c2-1(3,4)5",FC(F)(F)Cl,FC(F)(F)Cl,Halogenated compounds,103.964,NONPOLAR,10.1021/acs.iecr.3c02255,2.17546,3.3847,163.02242,0.0,0.0,0.0,0,0,134.14,302.0,94.01,286.64,134.14,286.64,94.01,302.0,306.03140540233375,4.217461545930648e6,0.00018789583423792276,0.87,-1.0,0.45,0.56,0.24,2.69,182,-1,288,192,96,740
"2,3,3,3-tetrafluoroprop-1-ene","2,3,3,3-tetrafluoroprop-1-ene",754-12-1,"InChI=1S/C3H2F4/c1-2(4)3(5,6)7/h1H2",C=C(F)C(F)(F)F,C=C(F)C(F)(F)F,Fluorides,114.009,NONPOLAR,10.1021/acs.iecr.3c02255,2.88557,3.35657,175.92411,0.0,0.0,0.0,0,0,193.26,367.15,217.44,348.089996,217.44,348.089996,193.26,367.15,376.29858801790857,3.958202715385289e6,0.00024464337697147753,0.23,-1.0,0.19,0.19,0.51,1.74,544,-1,12068,12020,48,739
"(e)-1,3,3,3-tetrafluoroprop-1-ene","(e)-1,3,3,3-tetrafluoroprop-1-ene",29118-24-9,"InChI=1S/C3H2F4/c4-2-1-3(5,6)7/h1-2H/b2-1+",F/C=C/C(F)(F)F,FC=CC(F)(F)F,Fluorides,114.009,NONPOLAR,10.1021/acs.iecr.3c02255,3.20055,3.20351,174.59547,0.0,0.0,0.0,0,0,223.1,383.12,205.22,362.95,223.1,362.95,205.22,383.12,390.46346078791123,4.225188502260883e6,0.00023727611161658704,0.44,-1.0,0.34,0.38,0.13,1.38,633,-1,791,664,127,754
"1,4-difluorobenzene","1,4-difluorobenzene",540-36-3,InChI=1S/C6H4F2/c7-5-1-2-6(8)4-3-5/h1-4H,Fc1ccc(F)cc1,Fc1ccc(F)cc1,Fluorides,114.028,NONPOLAR,10.1021/acs.iecr.3c02255,2.96517,3.5154,263.29915,0.0,0.0,0.0,0,0,300.4,397.7,248.0,343.0,300.4,343.0,248.0,397.7,569.9241284056276,5.068696202679152e6,0.00028918291775999975,0.25,-1.0,0.83,0.83,-1.0,-1.0,27,-1,34,34,-1,-1
"2,2,4-trimethylpentane","2,2,4-trimethylpentane",540-84-1,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3",CC(C)CC(C)(C)C,CC(C)CC(C)(C)C,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.13984,4.08786,249.78239,0.0,0.0,0.0,0,0,194.62,543.890015,197.93,513.150024,197.93,513.150024,194.62,543.890015,554.1115219298792,2.9464118321196632e6,0.00048307427058420885,0.9,1.8,0.71,0.72,0.58,32.42,780,799,975,912,63,117
octane,octane,111-65-9,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",CCCCCCCC,CCCCCCCC,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.86069,3.81486,241.43398,0.0,0.0,0.0,0,0,218.51,569.95,216.15,533.150024,218.51,533.150024,216.15,569.95,582.3529373334121,3.0300984631194286e6,0.0004908832172749923,0.89,1.19,0.43,0.43,0.39,8.11,1029,1042,3017,2930,87,45
3-methylheptane,3-methylheptane,589-81-1,"InChI=1S/C8H18/c1-4-6-7-8(3)5-2/h8H,4-7H2,1-3H3",CCCCC(C)CC,CCCCC(C)CC,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.61455,3.88542,245.59768,0.0,0.0,0.0,0,0,238.149994,563.6,273.15,533.150024,273.15,533.150024,238.149994,563.6,577.2949786257926,3.061755409205171e6,0.0004825857147162552,0.65,0.71,0.45,0.43,0.46,-1.0,163,164,56,26,30,-1
"2,3,4-trimethyl pentane","2,3,4-trimethylpentane",565-75-3,"InChI=1S/C8H18/c1-6(2)8(5)7(3)4/h6-8H,1-5H3",CC(C)C(C)C(C)C,CC(C)C(C)C(C)C,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.17623,4.03277,259.56788,0.0,0.0,0.0,0,0,222.800003,566.340027,273.15,533.150024,273.15,533.150024,222.800003,566.340027,578.6327348204431,3.164764908263662e6,0.0004695239715293691,0.57,-1.0,1.29,1.46,0.23,-1.0,191,-1,223,193,30,-1
"2,4-dimethylhexane","2,4-dimethylhexane",589-43-5,"InChI=1S/C8H18/c1-5-8(4)6-7(2)3/h7-8H,5-6H2,1-4H3",CCC(C)CC(C)C,CCC(C)CC(C)C,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.45038,3.95994,244.70926,0.0,0.0,0.0,0,0,307.23999,553.450012,273.15,523.150024,307.23999,523.150024,273.15,553.450012,564.5471553325419,2.978218278573394e6,0.0004857956412439909,0.68,1.01,0.99,0.8,1.05,-1.0,112,113,41,10,31,-1
4-methylheptane,4-methylheptane,589-53-7,"InChI=1S/C8H18/c1-4-6-8(3)7-5-2/h8H,4-7H2,1-3H3",CCCC(C)CCC,CCCC(C)CCC,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.62643,3.88212,244.25758,0.0,0.0,0.0,0,0,308.15,561.67,273.15,533.150024,308.15,533.150024,273.15,561.67,574.8948934842455,3.0456225745101823e6,0.00048307852447333343,0.62,-1.0,0.41,0.33,0.44,-1.0,97,-1,38,10,28,-1
"3,4-dimethylhexane","3,4-dimethylhexane",583-48-2,"InChI=1S/C8H18/c1-5-7(3)8(4)6-2/h7-8H,5-6H2,1-4H3",CCC(C)C(C)CC,CCC(C)C(C)CC,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.37726,3.95478,254.10125,0.0,0.0,0.0,0,0,313.98,568.780029,273.15,533.150024,313.98,533.150024,273.15,568.780029,581.1050808015442,3.1511915219706222e6,0.00047285936511936287,0.53,-1.0,0.28,0.17,0.33,-1.0,112,-1,39,11,28,-1
2-methylheptane,2-methylheptane,592-27-8,"InChI=1S/C8H18/c1-4-5-6-7-8(2)3/h8H,4-7H2,1-3H3",CCCCCC(C)C,CCCCCC(C)C,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.67088,3.88394,242.29289,0.0,0.0,0.0,0,0,233.149994,559.56,273.149994,523.150024,273.149994,523.150024,233.149994,559.56,573.0310312455382,2.9904336888211453e6,0.000490220552787925,0.8,-1.0,0.76,0.9,0.32,-1.0,147,-1,115,87,28,-1
"2,2-dimethylhexane","2,2-dimethylhexane",590-73-8,"InChI=1S/C8H18/c1-5-6-7-8(2,3)4/h5-7H2,1-4H3",CCCCC(C)(C)C,CCCCC(C)(C)C,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.38678,3.98505,245.3169,0.0,0.0,0.0,0,0,304.96,549.8,273.15,513.150024,304.96,513.150024,273.15,549.8,561.6646307768208,2.9676760024048993e6,0.0004852677711048619,0.54,-1.0,0.25,0.07,0.27,-1.0,96,-1,29,3,26,-1
"2,5-dimethylhexane","2,5-dimethylhexane",592-13-2,"InChI=1S/C8H18/c1-7(2)5-6-8(3)4/h7-8H,5-6H2,1-4H3",CC(C)CCC(C)C,CC(C)CCC(C)C,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.55926,3.92102,240.5764,0.0,0.0,0.0,0,0,276.7,549.99,273.15,513.150024,276.7,513.150024,273.15,549.99,562.020120104086,2.9505693258271604e6,0.000487737142111132,1.11,-1.0,0.22,0.07,0.26,-1.0,201,-1,61,12,49,-1
"2,3-dimethylhexane","2,3-dimethylhexane",584-94-1,"InChI=1S/C8H18/c1-5-6-8(4)7(2)3/h7-8H,5-6H2,1-4H3",CCCC(C)C(C)C,CCCC(C)C(C)C,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.43277,3.94351,250.15718,0.0,0.0,0.0,0,0,312.39,563.42,273.15,533.150024,312.39,533.150024,273.15,563.42,575.9143584623614,3.093766364274835e6,0.0004771325945409653,0.59,-1.0,0.31,0.06,0.33,-1.0,114,-1,33,3,30,-1
"2,2,3-trimethylpentane","2,2,3-trimethylpentane",564-02-3,"InChI=1S/C8H18/c1-6-7(2)8(3,4)5/h7H,6H2,1-5H3",CCC(C)C(C)(C)C,CCC(C)C(C)(C)C,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.07212,4.0839,261.52779,0.0,0.0,0.0,0,0,306.24,563.43,273.15,533.150024,306.24,533.150024,273.15,563.43,574.8036410824926,3.138556000624489e6,0.00047066347366768175,0.5,0.66,1.11,0.53,1.31,-1.0,99,100,40,10,30,-1
"3,3-dimethylhexane","3,3-dimethylhexane",563-16-6,"InChI=1S/C8H18/c1-5-7-8(3,4)6-2/h5-7H2,1-4H3",CCCC(C)(C)CC,CCCC(C)(C)CC,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.21937,4.03238,256.20469,0.0,0.0,0.0,0,0,308.55,561.950012,273.15,533.150024,308.55,533.150024,273.15,561.950012,574.3861130149965,3.0966270253987745e6,0.00047618455040605916,0.58,-1.0,2.3,0.29,2.5,-1.0,80,-1,33,3,30,-1
2-methyl-3-ethyl-pentane,3-ethyl-2-methylpentane,609-26-7,"InChI=1S/C8H18/c1-5-8(6-2)7(3)4/h7-8H,5-6H2,1-4H3",CCC(CC)C(C)C,CCC(CC)C(C)C,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.3049,3.98271,255.59118,0.0,0.0,0.0,0,0,312.049988,567.02002,273.15,533.150024,312.049988,533.150024,273.15,567.02002,579.3113521483178,3.149897549240617e6,0.00047184885964967997,0.54,-1.0,1.46,0.35,1.66,-1.0,116,-1,33,5,28,-1
3-methyl-3-ethylpentane,3-ethyl-3-methylpentane,1067-08-9,"InChI=1S/C8H18/c1-5-8(4,6-2)7-3/h5-7H2,1-4H3",CCC(C)(CC)CC,CCC(C)(CC)CC,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.09421,4.06572,266.92626,0.0,0.0,0.0,0,0,283.049988,576.51,273.149994,543.15,283.049988,543.15,273.149994,576.51,588.4675757335015,3.2313354402719657e6,0.00046794282686887236,0.43,-1.0,0.39,0.29,0.45,-1.0,77,-1,25,9,16,-1
"2,3,3-trimethylpentane","2,3,3-trimethylpentane",560-21-4,"InChI=1S/C8H18/c1-6-8(4,5)7(2)3/h7H,6H2,1-5H3",CCC(C)(C)C(C)C,CCC(C)(C)C(C)C,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.01529,4.10282,267.9794,0.0,0.0,0.0,0,0,309.9,573.49,273.15,543.150024,309.9,543.150024,273.15,573.49,584.2777293949963,3.2103472991460077e6,0.0004679119571834523,0.74,-1.0,0.38,0.16,0.46,-1.0,102,-1,43,11,32,-1
3-ethylhexane,3-ethylhexane,619-99-8,"InChI=1S/C8H18/c1-4-7-8(5-2)6-3/h8H,4-7H2,1-3H3",CCCC(CC)CC,CCCC(CC)CC,Alkanes,114.141,NONPOLAR,10.1021/acs.iecr.3c02255,3.53517,3.90208,248.39319,0.0,0.0,0.0,0,0,293.0,565.42,273.15,533.150024,293.0,533.150024,273.15,565.42,578.7007652085472,3.1059723921571e6,0.00047717663854623645,0.57,-1.0,0.88,0.29,1.02,-1.0,99,-1,37,7,30,-1
chlorotrifluoroethylene,"1-chloro-1,2,2-trifluoroethene",79-38-9,InChI=1S/C2ClF3/c3-1(4)2(5)6,FC(F)=C(F)Cl,FC(F)=C(F)Cl,Halogenated compounds,115.964,NONPOLAR,10.1021/acs.iecr.3c02255,2.55275,3.37703,191.75837,0.0,0.0,0.0,0,0,194.6,377.45,212.75,348.15,212.75,348.15,194.6,377.45,388.18494027609694,4.563745616751111e6,0.00021943735181565767,1.56,2.33,1.2,1.2,1.2,19.99,59,61,24,18,6,48
dichlorodifluoromethane,dichloro(difluoro)methane,75-71-8,"InChI=1S/CCl2F2/c2-1(3,4)5",FC(F)(Cl)Cl,FC(F)(Cl)Cl,Halogenated compounds,119.935,NONPOLAR,10.1021/acs.iecr.3c02255,2.20725,3.5654,206.85391,0.0,0.0,0.0,0,0,170.929993,385.149994,150.0,364.25,170.929993,364.25,150.0,385.149994,391.03881872994265,4.542157253506125e6,0.00022284238313521976,0.41,0.53,0.34,0.36,0.27,3.13,348,350,392,284,108,554
"1,4-dichloro-trans-2-butene","(e)-1,4-dichlorobut-2-ene",110-57-6,"InChI=1S/C4H6Cl2/c5-3-1-2-4-6/h1-2H,3-4H2/b2-1+",ClC/C=C/CCl,ClCC=CCCl,Chlorides,123.985,NONPOLAR,10.1021/acs.iecr.3c02255,3.83059,3.33815,274.10452,0.0,0.0,0.0,0,0,343.149994,432.15,293.149994,298.149994,343.149994,298.149994,293.149994,432.15,659.1588355491874,5.1644745583172655e6,0.0003260815119407794,5.07,10.4,0.26,0.26,-1.0,-1.0,7,9,3,3,-1,-1
"1,2-dichlorobutane","1,2-dichlorobutane",616-21-7,"InChI=1S/C4H8Cl2/c1-2-4(6)3-5/h4H,2-3H2,1H3",CCC(Cl)CCl,CCC(Cl)CCl,Chlorides,126.0,NONPOLAR,10.1021/acs.iecr.3c02255,2.87411,3.76535,291.44147,0.0,0.0,0.0,0,0,312.58,397.17,273.149994,298.149994,312.58,298.149994,273.149994,397.17,622.299157379034,4.656721135953721e6,0.00034391699656525376,1.22,2.13,0.54,0.54,-1.0,-1.0,19,20,9,9,-1,-1
